zone_id,bin_index,activity_nodes,x_coord,y_coord,geometry,production,attraction
1,0,1; 2; 1714,-111.92689385000001,33.4318588,"LINESTRING (-111.93 33.435,-111.92500000000001 33.435,-111.92500000000001 33.43,-111.93 33.43,-111.93 33.435)",119,119
2,0,6; 710; 820; 1988; 2254; 2276,-111.9414,33.42342175,"LINESTRING (-111.94500000000001 33.425000000000004,-111.94000000000001 33.425000000000004,-111.94000000000001 33.42,-111.94500000000001 33.42,-111.94500000000001 33.425000000000004)",239,239
3,1,27; 225; 226; 737; 1413; 2189; 2212; 2245; 2246; 2638,-111.9414,33.426982100000004,"LINESTRING (-111.94500000000001 33.43,-111.94000000000001 33.43,-111.94000000000001 33.425,-111.94500000000001 33.425,-111.94500000000001 33.43)",398,398
4,0,33; 646; 2015; 3096,-111.9413038,33.4182829,"LINESTRING (-111.94500000000001 33.42,-111.94000000000001 33.42,-111.94000000000001 33.415,-111.94500000000001 33.415,-111.94500000000001 33.42)",159,159
5,1,65; 234; 713; 902; 1160; 1192; 1382; 1390; 1480; 1614; 2872,-111.92838065,33.42675425,"LINESTRING (-111.93 33.43,-111.92500000000001 33.43,-111.92500000000001 33.425,-111.93 33.425,-111.93 33.43)",438,438
6,3,75; 289; 292; 448; 454; 481; 486; 701; 789; 858; 1064; 1393; 1454; 1684; 1685; 1970; 1973; 2155; 2389; 2486; 2499; 2539; 2540; 2547; 2626; 2644; 2904; 3192,-111.9268,33.421724,"LINESTRING (-111.93 33.425000000000004,-111.92500000000001 33.425000000000004,-111.92500000000001 33.42,-111.93 33.42,-111.93 33.425000000000004)",1115,1115
7,0,87; 538; 2010; 2011,-111.93729125,33.413450000000005,"LINESTRING (-111.94 33.415000000000006,-111.935 33.415000000000006,-111.935 33.410000000000004,-111.94 33.410000000000004,-111.94 33.415000000000006)",159,159
8,3,97; 129; 385; 1375; 1543; 1662; 1882; 1909; 1914; 2059; 2130; 2139; 2174; 2294; 2359; 2372; 2474; 2477; 2655; 2661; 2663; 2676; 2680; 2681; 3064; 3256,-111.937816,33.42150770000001,"LINESTRING (-111.94 33.425000000000004,-111.935 33.425000000000004,-111.935 33.42,-111.94 33.42,-111.94 33.425000000000004)",1035,1035
9,2,161; 193; 237; 244; 552; 909; 1260; 1292; 1306; 1324; 1352; 1356; 2128; 2406; 2429; 2439; 2442; 2447; 2457; 2518; 2744; 3032; 3224,-111.93261035,33.4184807,"LINESTRING (-111.935 33.42,-111.93 33.42,-111.93 33.415,-111.935 33.415,-111.935 33.42)",916,916
10,0,207; 857; 1582; 2006; 2008; 2108; 2163; 2166,-111.93158275,33.413450000000005,"LINESTRING (-111.935 33.415000000000006,-111.93 33.415000000000006,-111.93 33.410000000000004,-111.935 33.410000000000004,-111.935 33.415000000000006)",318,318
11,2,257; 321; 422; 550; 1559; 1596; 1602; 1722; 1736; 2180; 2340; 2349; 2419; 2427; 2630; 2712; 2968,-111.93757765,33.41757075,"LINESTRING (-111.94 33.42,-111.935 33.42,-111.935 33.415,-111.94 33.415,-111.94 33.42)",677,677
12,1,334; 337; 340; 1818; 1946; 1977; 1978; 1999; 2244,-111.9387148,33.43225,"LINESTRING (-111.94 33.435,-111.935 33.435,-111.935 33.43,-111.94 33.43,-111.94 33.435)",358,358
13,1,353; 518; 582; 678; 1826; 1850; 2050; 2072; 2236; 2275; 2308; 2500; 2641; 2808; 3288,-111.93698955,33.426641950000004,"LINESTRING (-111.94 33.43,-111.935 33.43,-111.935 33.425,-111.94 33.425,-111.94 33.43)",597,597
14,4,398; 932; 934; 954; 966; 992; 998; 1021; 1032; 1096; 1224; 1231; 1354; 1486; 1504; 1518; 1550; 1649; 1650; 1709; 1711; 2036; 2101; 2116; 2314; 2365; 2379; 2381; 2496; 2548; 2549; 2554; 2556; 2558; 2664; 2776; 3000,-111.93277995000001,33.421400500000004,"LINESTRING (-111.935 33.425000000000004,-111.93 33.425000000000004,-111.93 33.42,-111.935 33.42,-111.935 33.425000000000004)",1474,1474
15,1,614; 615; 838; 1754; 2004; 2190; 2515; 2840; 3160,-111.92699160000001,33.413596500000004,"LINESTRING (-111.93 33.415000000000006,-111.92500000000001 33.415000000000006,-111.92500000000001 33.410000000000004,-111.93 33.410000000000004,-111.93 33.415000000000006)",358,358
16,2,742; 774; 806; 870; 893; 1277; 1786; 1948; 1951; 1953; 1955; 2080; 2084; 2087; 2124; 2140; 2148; 2149; 2510; 2514; 2517; 2647; 2648,-111.9268972,33.4180411,"LINESTRING (-111.93 33.42,-111.92500000000001 33.42,-111.92500000000001 33.415,-111.93 33.415,-111.93 33.42)",916,916
17,1,1128; 1207; 1963; 2096; 2566; 2568; 2579; 2590; 2592; 2607; 2613; 2617; 2623; 2936; 3128,-111.93232855000001,33.4280852,"LINESTRING (-111.935 33.43,-111.93 33.43,-111.93 33.425,-111.935 33.425,-111.935 33.43)",597,597
18,0,1417; 1422,-111.93374765,33.43225,"LINESTRING (-111.935 33.435,-111.93 33.435,-111.93 33.43,-111.935 33.43,-111.935 33.435)",79,79
19,0,1822,-111.9413012,33.43225,"LINESTRING (-111.94500000000001 33.435,-111.94000000000001 33.435,-111.94000000000001 33.43,-111.94500000000001 33.43,-111.94500000000001 33.435)",39,39
